ID;Информация;Имя;Тип;Подтип;Префикс;TableER;TypeER;ImageFile;Description;ParentDicObject;DicObject;ObjectNumberOPC;Сущность;SortGroup;CountID;SubType
1300000;ПК ЗАРЯ;В работе;Код события;№№;В работе;;;measure;В работе;0;0;;-;;1392;2
1300001;ПК ЗАРЯ;Ошибка обмена со счетчиком;Код события;№№;Ошибка обмена со счетчиком;;;measure;Ошибка обмена со счетчиком;0;0;;-;;1393;2
1300002;ПК ЗАРЯ;Неисправность устройства;Код события;№№;Неисправность устройства;;;measure;Неисправность устройства;0;0;;-;;1394;2
1300003;ПК ЗАРЯ;Неверный пароль;Код события;№№;Неверный пароль;;;measure;Неверный пароль;0;0;;-;;1395;2
1300004;ПК ЗАРЯ;Ошибка сохранения параметров;Код события;№№;Ошибка сохранения параметров;;;measure;Ошибка сохранения параметров;0;0;;-;;1396;2
1300005;ПК ЗАРЯ;Устройство не отвечает;Код события;№№;Устройство не отвечает;;;measure;Устройство не отвечает;0;0;;-;;1397;2
1300006;ПК ЗАРЯ;Невыполнимая команда ;Код события;№№;Невыполнимая команда ;;;measure;Невыполнимая команда ;0;0;;-;;1398;2
1300007;ПК ЗАРЯ;Нет памяти для выполнения команды ;Код события;№№;Нет памяти для выполнения команды ;;;measure;Нет памяти для выполнения команды ;0;0;;-;;1399;2
1300008;ПК ЗАРЯ;Ошибочное подключение устройства;Код события;№№;Ошибочное подключение устройства;;;measure;Ошибочное подключение устройства;0;0;;-;;1400;2
1300009;ПК ЗАРЯ;Канал к счетчику занят другим пользователем;Код события;№№;Канал к счетчику занят другим пользователем;;;measure;Канал к счетчику занят другим пользователем;0;0;;-;;1401;2
1300010;ПК ЗАРЯ;Приняты уставки;Код события;№№;Приняты уставки;;;measure;Приняты уставки;0;0;;-;;1402;2
1300011;ПК ЗАРЯ;Удалены уставки;Код события;№№;Удалены уставки;;;measure;Удалены уставки;0;0;;-;;1403;2
1300012;ПК ЗАРЯ;Ошибка открытия порта;Код события;№№;Ошибка открытия порта;;;measure;Ошибка открытия порта;0;0;;-;;1404;2
1300013;ПК ЗАРЯ;Переполнение очереди;Код события;№№;Переполнение очереди;;;measure;Переполнение очереди;0;0;;-;;1405;2
1300014;ПК ЗАРЯ;Тайм-аут ;Код события;№№;Тайм-аут ;;;measure;Тайм-аут ;0;0;;-;;1406;2
1300015;ПК ЗАРЯ;Произведена замена счетчика;Код события;№№;Произведена замена счетчика;;;measure;Произведена замена счетчика;0;0;;-;;1407;2
